player_id	player_name	team_id	team_name	jersey	year	pos	height	played	started	minutes	fgm	fga	fgpct	three_fgm	three_fga	three_fgpct	ft	fta	ftpct	pts	ptsavg	offreb	defreb	totreb	rebavg	ast	to	stl	blk	fouls	dbldbl	trpdbl
1747037	Nzeakor, Josh	346	Lamar	11	Fr	F	6-7	30	20	540:00	72	142	50.70				45	77	58.44	189	6.30	62	101	163	5.43	17	32	15	11	69	1	
1512531	Mattingly, Preston	346	Lamar	22	Jr	G	6-2	30	13	715:00	62	118	52.54	2	5	40.00	59	85	69.41	185	6.17	47	93	140	4.67	37	21	27	6	66	2	
1512529	Owens, Marcus	346	Lamar	20	Jr	G	6-2	30	23	632:00	80	202	39.60	38	105	36.19	36	49	73.47	234	7.80	45	68	113	3.77	39	32	17	5	63	1	
1747036	Davis, Lincoln	346	Lamar	05	Jr	G	6-1	30	21	587:00	53	146	36.30	13	52	25.00	79	123	64.23	198	6.60	19	62	81	2.70	46	41	26	8	53		
1628099	Sears, Dontavious	346	Lamar	23	Sr	F	6-4	29	6	418:00	77	175	44.00	22	84	26.19	29	45	64.44	205	7.07	40	94	134	4.62	18	23	19	15	38	5	
1628101	Gregory, Lemon	346	Lamar	42	Sr	C	6-10	29	9	324:00	42	80	52.50				21	37	56.76	105	3.62	23	49	72	2.48	5	29	9	11	59	1	
1747034	Chatman, Dorian	346	Lamar	02	Fr	F	6-7	29	18	576:00	90	193	46.63	1	1	100.00	63	98	64.29	244	8.41	47	67	114	3.93	27	64	15	34	89		
1747035	Garth, Nick	346	Lamar	03	Fr	G	6-0	29	6	734:00	123	323	38.08	66	196	33.67	78	96	81.25	390	13.45	22	59	81	2.79	75	53	26	1	58		
1628100	Jones, Quan	346	Lamar	24	Sr	G	6-2	29	14	408:00	38	106	35.85	16	46	34.78	45	59	76.27	137	4.72	6	22	28	0.97	32	34	17	2	53		
1628096	Booze, Kevin	346	Lamar	2	So	G	5-10	27	18	606:00	86	204	42.16	27	79	34.18	53	75	70.67	252	9.33	12	53	65	2.41	114	67	36	1	71	1	
1628098	Bosha, Zjori	346	Lamar	15	So	G	6-5	24	2	191:00	14	51	27.45	4	30	13.33	4	7	57.14	36	1.50	15	19	34	1.42	9	10	8		28		
1747040	Williams, Boaz	346	Lamar	21	Fr	F	6-6	22	0	139:00	27	55	49.09	8	16	50.00	8	14	57.14	70	3.18	12	17	29	1.32	5	16	4	3	23		
1747038	Kennedy, Christian	346	Lamar	14	Jr	C	6-11	16	0	85:00	4	17	23.53		1	0.00	1	8	12.50	9	0.56	8	8	16	1.00		5	2	16	18		
1747039	Hubby, Terrance	346	Lamar	15	Fr	G	6-5	10	0	45:00	3	9	33.33		2	0.00	3	8	37.50	9	0.90	3	5	8	0.80	1	3	4	3	11		
1620673	Price, Jordan	340	La Salle	21	Jr	G	6-5	31	31	1170:00	195	500	39.00	89	244	36.48	117	163	71.78	596	19.23	23	149	172	5.55	92	102	35	13	68	2	
1509825	Stukes, Amar	340	La Salle	2	So	G	6-2	31	28	953:00	62	202	30.69	20	65	30.77	37	56	66.07	181	5.84	11	59	70	2.26	100	42	40	3	86		
1620674	Roberts, Cleon	340	La Salle	3	Jr	G	6-6	31	31	1137:00	127	328	38.72	65	181	35.91	81	104	77.88	400	12.90	44	67	111	3.58	38	55	60	12	86		
1620676	Shuler, Johnnie	340	La Salle	1	So	G	5-11	31	30	1105:00	93	279	33.33	63	191	32.98	49	62	79.03	298	9.61	19	97	116	3.74	92	68	40		76		
1620677	Washington, Tony	340	La Salle	5	So	C	6-10	29	25	774:00	98	162	60.49				27	54	50.00	223	7.69	68	148	216	7.45	19	45	14	44	101	5	
1733460	Harris, Karl	340	La Salle	14	Fr	G	6-5	25	0	268:00	24	74	32.43	12	42	28.57	6	13	46.15	66	2.64	6	28	34	1.36	8	9	3	4	30		
1289188	Brown, Rohan	340	La Salle	35	Sr	G	6-5	23	9	421:00	35	60	58.33	6	18	33.33	13	25	52.00	89	3.87	31	52	83	3.61	17	23	13	5	35		
1620675	Sakhniuk, Yevgen	340	La Salle	12	So	F	6-7	19	0	257:00	50	77	64.94	1	6	16.67	14	37	37.84	115	6.05	15	25	40	2.11	17	32	9	9	45		
1733461	Majstorovic, Dusan	340	La Salle	23	Fr	G	6-5	15	0	85:00	4	15	26.67	2	13	15.38	2	2	100.00	12	0.80	1	12	13	0.87	4	3	1	2	8		
1415947	Lewis, O.J.	340	La Salle	11	Sr	G	6-0	12	1	24:00	1	8	12.50	1	2	50.00	2	4	50.00	5	0.42	1	2	3	0.25	1	1	2		3		
1525389	Davis, Hank	340	La Salle	4	Jr	C	5-11	3	0	6:00	1	2	50.00							2	0.67									1		
1513450	Boykins, Monty	342	Lafayette	32	Jr	G	6-4	30	25	703:00	108	281	38.43	54	151	35.76	52	84	61.90	322	10.73	7	68	75	2.50	56	58	19	3	38		
1400672	Musters, Nathaniel	342	Lafayette	54	Sr	C	6-10	30	17	337:00	20	42	47.62				4	6	66.67	44	1.47	15	61	76	2.53	13	19	7	7	40		
1734407	Zalys, Paulius	342	Lafayette	33	Fr	F	6-7	30	3	713:00	83	169	49.11	23	67	34.33	40	62	64.52	229	7.63	41	73	114	3.80	38	64	12	11	73	2	
1620933	Klinewski, Matt	342	Lafayette	13	So	F	6-8	30	27	799:00	150	302	49.67		1	0.00	99	130	76.15	399	13.30	47	101	148	4.93	40	53	11	14	85	1	
