team_id	team_name	team_minutes	team_fgm	team_fga	team_fgpct	team_three_fgm	team_three_fga	team_three_fgpct	team_ft	team_fta	team_ftpct	team_pts	team_ptsavg	team_offreb	team_defreb	team_totreb	team_rebavg	team_ast	team_to	team_stl	team_blk	team_fouls	team_dbldbl	team_trpdbl	opp_team_minutes	opp_team_fgm	opp_team_fga	opp_team_fgpct	opp_team_three_fgm	opp_team_three_fga	opp_team_three_fgpct	opp_team_ft	opp_team_fta	opp_team_ftpct	opp_team_pts	opp_team_ptsavg	opp_team_offreb	opp_team_defreb	opp_team_totreb	opp_team_rebavg	opp_team_ast	opp_team_to	opp_team_stl	opp_team_blk	opp_team_fouls	opp_team_dbldbl	opp_team_trpdbl
346	Lamar	6000:00	771	1,821	42.34	197	617	31.93	524	781	67.09	2,263	75.43	415	758	1,173	39.10	425	439	225	116	699			5999:00	773	1,734	44.58	204	602	33.89	560	798	70.18	2,310	77.00	345	778	1,123	37.43	468	441	201	102	642		
340	La Salle	6200:00	690	1,707	40.42	259	762	33.99	348	520	66.92	1,987	64.10	274	683	957	30.87	388	398	217	92	539			6201:00	802	1,749	45.85	234	626	37.38	441	608	72.53	2,279	73.52	353	820	1,173	37.84	466	403	180	121	507		
342	Lafayette	6275:00	758	1,741	43.54	245	671	36.51	381	551	69.15	2,142	71.40	242	714	956	31.87	416	391	171	69	588			6275:00	853	1,839	46.38	239	669	35.72	467	645	72.40	2,412	80.40	350	841	1,191	39.70	450	359	191	98	561		
810	Wright St.	6825:00	829	1,844	44.96	249	665	37.44	423	611	69.23	2,330	68.53	219	835	1,054	31.00	463	389	189	73	748			6825:00	720	1,715	41.98	200	614	32.57	585	815	71.78	2,225	65.44	288	889	1,177	34.62	362	481	172	105	610		
811	Wyoming	6275:00	689	1,570	43.89	307	829	37.03	508	710	71.55	2,193	70.74	175	768	943	30.42	372	346	126	82	581			6275:00	764	1,758	43.46	229	650	35.23	483	688	70.20	2,240	72.26	336	812	1,148	37.03	362	335	179	71	678		
812	Xavier	5800:00	783	1,734	45.16	211	592	35.64	555	756	73.41	2,332	80.41	374	816	1,190	41.03	468	370	213	92	574			5800:00	703	1,714	41.02	220	701	31.38	395	562	70.28	2,021	69.69	290	675	965	33.28	388	408	171	102	670		
813	Yale	4999:00	662	1,412	46.88	156	423	36.88	390	590	66.10	1,870	74.80	340	675	1,015	40.60	381	336	147	108	451			4999:00	554	1,373	40.35	153	474	32.28	317	461	68.76	1,578	63.12	216	528	744	29.76	280	312	165	90	538		
817	Youngstown St.	6525:00	870	2,021	43.05	257	704	36.51	440	619	71.08	2,437	76.16	283	797	1,080	33.75	467	387	219	80	571			6525:00	984	2,094	46.99	256	756	33.86	458	661	69.29	2,682	83.81	396	940	1,336	41.75	557	407	209	107	560		
2915	Wofford	6475:00	771	1,726	44.67	270	662	40.79	484	645	75.04	2,296	71.75	274	741	1,015	31.72	470	378	163	56	609			6475:00	826	1,699	48.62	177	501	35.33	466	682	68.33	2,295	71.72	253	752	1,005	31.41	379	376	191	102	608		
719	Tulsa	6250:00	796	1,793	44.39	216	656	32.93	486	717	67.78	2,294	74.00	313	773	1,086	35.03	425	335	211	83	549			6250:00	733	1,760	41.65	235	647	36.32	459	613	74.88	2,160	69.68	338	808	1,146	36.97	375	445	164	102	637		
718	Tulane	6950:00	802	2,021	39.68	216	719	30.04	420	621	67.63	2,240	65.88	415	851	1,266	37.24	372	451	218	131	649			6950:00	845	1,950	43.33	212	601	35.27	496	718	69.08	2,398	70.53	369	895	1,264	37.18	409	441	240	119	598		
716	Troy	6250:00	740	1,816	40.75	208	674	30.86	457	713	64.10	2,145	69.19	349	783	1,132	36.52	349	376	185	88	582			6250:00	821	1,859	44.16	236	665	35.49	451	643	70.14	2,329	75.13	354	846	1,200	38.71	442	390	199	111	632		
711	Towson	6450:00	779	1,825	42.68	178	553	32.19	550	810	67.90	2,286	71.44	461	796	1,257	39.28	361	392	199	150	653			6449:00	720	1,728	41.67	202	589	34.30	495	670	73.88	2,137	66.78	302	720	1,022	31.94	348	403	166	109	665		
