,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,Dayton,A-10,24,6,.800,15,3,.833,76.3,66.6,13.69,3.97,,,
2,Virginia Commonwealth,A-10,24,7,.774,14,4,.778,74.8,66.2,12.18,3.56,,,
3,Rhode Island,A-10,21,9,.700,13,5,.722,73.1,65.2,11.83,3.89,23,21,
4,Richmond,A-10,19,11,.633,13,5,.722,74.1,71.1,5.89,2.89,,,
5,St. Bonaventure,A-10,19,11,.633,11,7,.611,77.4,72.7,6.27,1.57,,,
6,George Washington,A-10,18,13,.581,10,8,.556,70.4,70.1,3.51,3.19,,,
7,George Mason,A-10,19,12,.613,9,9,.500,74.3,71.9,4.19,1.79,,,
8,La Salle,A-10,15,14,.517,9,9,.500,75.6,76.4,2.51,3.27,,,
9,Davidson,A-10,15,14,.517,8,10,.444,74.0,71.3,6.93,4.20,,,
10,Fordham,A-10,13,18,.419,7,11,.389,63.9,67.0,-1.29,1.78,,,
11,Saint Louis,A-10,12,20,.375,6,12,.333,61.9,69.8,-5.69,2.28,,,
12,Massachusetts,A-10,15,17,.469,4,14,.222,72.2,71.8,2.35,1.98,,,
13,Saint Joseph's,A-10,11,20,.355,4,14,.222,69.5,73.1,0.56,4.11,,,
14,Duquesne,A-10,10,22,.313,3,15,.167,70.5,74.3,-2.55,1.20,,,
