,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,North Carolina,ACC,26,6,.813,14,4,.778,84.6,70.8,25.20,11.39,6,3,
2,Florida State,ACC,24,7,.774,12,6,.667,83.0,71.2,21.16,9.32,,6,
3,Louisville,ACC,24,7,.774,12,6,.667,77.5,65.4,24.11,11.91,13,4,
4,Notre Dame,ACC,23,8,.742,12,6,.667,78.5,69.3,18.52,9.23,,14,
5,Duke,ACC,24,8,.750,11,7,.611,80.4,69.2,22.06,10.84,1,1,
6,Virginia,ACC,22,9,.710,11,7,.611,66.9,55.1,23.01,11.27,8,6,
7,Virginia Tech,ACC,22,9,.710,10,8,.556,79.6,74.4,13.76,8.57,,21,
8,Miami (FL),ACC,21,10,.677,10,8,.556,69.9,63.2,16.47,9.79,,,
9,Syracuse,ACC,18,14,.563,10,8,.556,75.8,70.4,14.79,9.47,19,18,
10,Wake Forest,ACC,19,13,.594,9,9,.500,82.7,77.9,15.17,10.42,,,
11,Georgia Tech,ACC,17,15,.531,8,10,.444,66.1,67.1,7.91,8.91,,,
12,Clemson,ACC,17,15,.531,6,12,.333,75.0,71.5,14.38,10.88,,,
13,Pittsburgh,ACC,16,17,.485,4,14,.222,72.8,74.7,10.21,12.03,,,
14,North Carolina State,ACC,15,17,.469,4,14,.222,77.6,79.6,6.94,8.94,,,
15,Boston College,ACC,9,23,.281,2,16,.111,72.5,78.4,3.03,8.91,,,
