,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,Vermont,AEC,28,5,.848,16,0,1.000,73.9,63.2,7.13,-3.65,,,
2,Stony Brook,AEC,18,13,.581,12,4,.750,69.2,68.8,-4.15,-4.57,,,
3,Albany (NY),AEC,21,12,.636,10,6,.625,71.6,66.6,0.24,-4.80,,,
4,New Hampshire,AEC,20,12,.625,10,6,.625,69.2,68.3,-3.10,-3.99,,,
5,Maryland-Baltimore County,AEC,18,12,.600,9,7,.563,80.5,78.4,-3.41,-5.49,,,
6,Massachusetts-Lowell,AEC,11,20,.355,5,11,.313,77.7,81.5,-9.71,-5.98,,,
7,Hartford,AEC,9,23,.281,4,12,.250,66.8,77.0,-15.40,-5.12,,,
8,Binghamton,AEC,12,20,.375,3,13,.188,65.1,71.3,-11.58,-5.37,,,
9,Maine,AEC,7,25,.219,3,13,.188,63.6,76.0,-15.88,-3.56,,,
