,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,Kansas,Big 12,28,3,.903,16,2,.889,82.7,72.0,23.22,12.44,3,1,
2,Baylor,Big 12,25,6,.806,12,6,.667,71.9,62.8,21.12,12.05,,1,
3,West Virginia,Big 12,24,7,.774,12,6,.667,83.8,66.8,25.75,8.75,20,7,
4,Iowa State,Big 12,20,10,.667,12,6,.667,80.4,71.9,19.88,11.31,24,19,
5,Oklahoma State,Big 12,20,11,.645,9,9,.500,85.1,77.3,19.60,11.84,,,
6,Kansas State,Big 12,19,12,.613,8,10,.444,72.5,67.5,14.63,9.69,,25,
7,Texas Christian,Big 12,18,14,.563,6,12,.333,73.6,69.7,15.05,11.11,,,
8,Texas Tech,Big 12,18,14,.563,6,12,.333,73.3,67.1,14.39,8.14,,,
9,Oklahoma,Big 12,11,20,.355,5,13,.278,73.0,74.2,11.68,12.88,,,
10,Texas,Big 12,11,21,.344,4,14,.222,67.6,69.1,11.06,12.56,21,21,
