,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,Villanova,Big East,28,3,.903,15,3,.833,77.5,63.1,24.36,9.87,4,1,
2,Butler,Big East,23,7,.767,12,6,.667,76.9,68.6,18.78,10.44,,11,
3,Creighton,Big East,23,8,.742,10,8,.556,82.9,73.1,18.39,8.59,22,7,
4,Seton Hall,Big East,20,10,.667,10,8,.556,73.7,70.5,12.25,9.05,,,
5,Providence,Big East,20,11,.645,10,8,.556,70.6,66.5,12.21,8.08,,,
6,Marquette,Big East,19,11,.633,10,8,.556,82.7,74.8,16.69,8.72,,,
7,Xavier,Big East,20,12,.625,9,9,.500,75.1,71.7,14.39,10.99,7,7,
8,St. John's (NY),Big East,14,18,.438,7,11,.389,77.1,77.8,7.84,8.56,,,
9,Georgetown,Big East,14,18,.438,5,13,.278,74.0,72.2,11.85,9.97,,,
10,DePaul,Big East,9,23,.281,2,16,.111,68.9,74.6,2.64,8.33,,,
