,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,Purdue,Big Ten,25,6,.806,14,4,.778,80.5,66.9,21.74,8.22,15,13,
2,Maryland,Big Ten,24,7,.774,12,6,.667,73.9,68.4,13.81,8.38,25,17,
3,Wisconsin,Big Ten,23,8,.742,12,6,.667,72.4,61.6,19.16,8.35,9,7,
4,Minnesota,Big Ten,23,8,.742,11,7,.611,75.6,69.0,15.50,8.86,,24,
5,Northwestern,Big Ten,21,10,.677,10,8,.556,71.4,64.9,14.51,7.97,,25,
6,Michigan,Big Ten,20,11,.645,10,8,.556,74.6,65.7,17.86,8.89,,25,
7,Iowa,Big Ten,18,13,.581,10,8,.556,80.2,77.1,10.94,7.85,,,
8,Michigan State,Big Ten,18,13,.581,10,8,.556,72.0,69.1,13.31,10.44,12,12,
9,Illinois,Big Ten,18,13,.581,8,10,.444,71.0,69.9,10.96,9.83,,,
10,Indiana,Big Ten,17,14,.548,7,11,.389,80.4,73.3,15.38,8.28,11,3,
11,Ohio State,Big Ten,17,15,.531,7,11,.389,72.8,69.8,10.86,7.83,,,
12,Penn State,Big Ten,15,17,.469,6,12,.333,72.4,72.6,9.19,9.38,,,
13,Nebraska,Big Ten,12,19,.387,6,12,.333,69.9,74.2,7.05,11.32,,,
14,Rutgers,Big Ten,15,17,.469,3,15,.167,65.0,66.9,4.65,6.55,,,
