,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,UC-Irvine,Big West,19,13,.594,12,4,.750,69.2,65.9,0.97,-2.39,,,
2,UC-Davis,Big West,19,12,.613,11,5,.688,70.3,70.3,-5.30,-5.30,,,
3,Cal State Fullerton,Big West,16,13,.552,10,6,.625,72.4,73.4,-7.69,-6.65,,,
4,Long Beach State,Big West,14,18,.438,9,7,.563,74.2,80.2,-6.00,-0.07,,,
5,Hawaii,Big West,14,15,.483,8,8,.500,67.6,68.6,-5.59,-4.66,,,
6,Cal State Northridge,Big West,11,18,.379,7,9,.438,77.1,81.0,-7.47,-3.58,,,
7,Cal Poly,Big West,11,19,.367,6,10,.375,67.3,73.6,-10.32,-4.00,,,
8,UC-Riverside,Big West,8,20,.286,5,11,.313,63.5,71.0,-11.18,-3.72,,,
9,UC-Santa Barbara,Big West,6,22,.214,4,12,.250,60.2,71.7,-13.24,-1.76,,,
