,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,Middle Tennessee,CUSA,27,4,.871,17,1,.944,73.3,63.0,9.20,-1.03,,,
2,Louisiana Tech,CUSA,22,9,.710,14,4,.778,77.1,66.8,5.99,-4.36,,,
3,Old Dominion,CUSA,19,11,.633,12,6,.667,64.5,61.1,2.40,-1.03,,,
4,Texas-El Paso,CUSA,14,16,.467,12,6,.667,68.5,68.6,-2.81,-2.71,,,
5,Rice,CUSA,22,10,.688,11,7,.611,81.2,75.9,1.22,-4.15,,,
6,Marshall,CUSA,18,14,.563,10,8,.556,86.7,85.5,-0.18,-1.34,,,
7,Alabama-Birmingham,CUSA,17,15,.531,9,9,.500,71.4,70.4,-0.70,-1.77,,,
8,Western Kentucky,CUSA,15,17,.469,9,9,.500,69.0,71.9,-5.55,-2.65,,,
9,Texas-San Antonio,CUSA,14,18,.438,8,10,.444,64.7,68.7,-7.39,-3.39,,,
10,Charlotte,CUSA,13,17,.433,7,11,.389,75.7,80.0,-4.89,-0.58,,,
11,Florida Atlantic,CUSA,10,20,.333,6,12,.333,69.0,75.0,-7.71,-1.74,,,
12,Southern Mississippi,CUSA,9,22,.290,6,12,.333,61.8,72.4,-12.98,-2.36,,,
13,Florida International,CUSA,7,24,.226,3,15,.167,69.4,74.2,-7.85,-3.03,,,
14,North Texas,CUSA,8,22,.267,2,16,.111,68.5,76.3,-10.77,-2.95,,,
