,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,North Carolina-Wilmington,CAA,29,5,.853,15,3,.833,83.1,74.1,8.13,-0.90,,,
2,College of Charleston,CAA,25,9,.735,14,4,.778,69.2,64.7,4.50,-0.02,,,
3,Towson,CAA,20,13,.606,11,7,.611,73.4,70.3,2.24,-0.89,,,
4,Elon,CAA,18,14,.563,10,8,.556,73.8,72.1,0.58,-1.05,,,
5,William & Mary,CAA,17,14,.548,10,8,.556,80.2,79.6,0.22,-0.37,,,
6,Northeastern,CAA,15,16,.484,8,10,.444,72.1,71.9,-0.48,-0.60,,,
7,Hofstra,CAA,15,17,.469,7,11,.389,76.9,77.4,-1.98,-1.53,,,
8,James Madison,CAA,10,23,.303,7,11,.389,66.0,69.8,-5.21,-1.40,,,
9,Delaware,CAA,13,20,.394,5,13,.278,64.8,73.4,-9.65,-1.10,,,
10,Drexel,CAA,9,23,.281,3,15,.167,74.6,79.5,-7.05,-2.18,,,
