,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,Oakland,Horizon,24,8,.750,14,4,.778,79.0,71.3,4.11,-3.55,,,
2,Valparaiso,Horizon,24,8,.750,14,4,.778,74.8,68.3,4.74,-1.78,,,
3,Northern Kentucky,Horizon,24,10,.706,12,6,.667,74.9,71.8,-0.32,-3.35,,,
4,Green Bay,Horizon,18,13,.581,12,6,.667,79.0,78.6,-2.13,-2.55,,,
5,Wright State,Horizon,20,12,.625,11,7,.611,75.7,74.3,-0.77,-2.17,,,
6,Illinois-Chicago,Horizon,15,18,.455,7,11,.389,75.1,77.6,-6.03,-3.48,,,
7,Detroit Mercy,Horizon,8,23,.258,6,12,.333,76.3,85.4,-10.32,-1.22,,,
8,Youngstown State,Horizon,13,21,.382,5,13,.278,76.0,83.2,-9.50,-2.31,,,
9,Cleveland State,Horizon,9,22,.290,5,13,.278,66.8,72.0,-6.39,-1.19,,,
10,Milwaukee,Horizon,11,24,.314,4,14,.222,66.4,71.6,-7.05,-1.84,,,
