,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,Monmouth,MAAC,27,6,.818,18,2,.900,81.2,73.1,5.30,-2.73,,,
2,Saint Peter's,MAAC,19,13,.594,14,6,.700,66.5,61.8,1.18,-3.54,,,
3,Iona,MAAC,22,12,.647,12,8,.600,80.5,76.4,1.26,-2.85,,,
4,Siena,MAAC,17,17,.500,12,8,.600,75.0,74.7,-1.71,-1.95,,,
5,Fairfield,MAAC,16,14,.533,11,9,.550,72.3,73.0,-4.35,-3.58,,,
6,Canisius,MAAC,18,15,.545,10,10,.500,78.5,77.7,-2.47,-3.29,,,
7,Rider,MAAC,18,15,.545,10,10,.500,75.7,75.8,-5.00,-4.94,,,
8,Quinnipiac,MAAC,10,21,.323,7,13,.350,76.7,83.3,-9.57,-2.93,,,
9,Niagara,MAAC,10,23,.303,6,14,.300,74.2,78.2,-8.06,-4.09,,,
10,Manhattan,MAAC,10,22,.313,5,15,.250,70.6,77.7,-9.28,-2.22,,,
11,Marist,MAAC,8,24,.250,5,15,.250,69.5,79.1,-12.10,-2.50,,,
