,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,North Carolina Central,MEAC,23,8,.742,13,3,.813,73.4,64.6,-3.11,-11.86,,,
2,Norfolk State,MEAC,16,15,.516,12,4,.750,69.4,73.2,-11.89,-8.10,,,
3,Hampton,MEAC,14,15,.483,11,5,.688,68.6,71.5,-12.51,-9.62,,,
4,Morgan State,MEAC,14,15,.483,11,5,.688,66.9,70.7,-14.33,-10.47,,,
5,Savannah State,MEAC,13,16,.448,10,6,.625,83.9,91.5,-15.52,-7.93,,,
6,Maryland-Eastern Shore,MEAC,13,19,.406,9,7,.563,71.0,76.8,-12.94,-7.14,,,
7,South Carolina State,MEAC,11,20,.355,7,9,.438,68.4,80.2,-17.83,-6.07,,,
8,Delaware State,MEAC,10,22,.313,7,9,.438,66.4,75.8,-18.24,-8.80,,,
9,Coppin State,MEAC,8,24,.250,7,9,.438,65.2,78.7,-20.95,-7.45,,,
10,Bethune-Cookman,MEAC,10,22,.313,6,10,.375,70.4,78.6,-19.00,-10.77,,,
11,Howard,MEAC,9,23,.281,5,11,.313,63.3,72.5,-16.29,-7.09,,,
12,Florida A&M,MEAC,7,23,.233,5,11,.313,70.0,79.0,-20.37,-11.33,,,
13,North Carolina A&T,MEAC,3,29,.094,1,15,.063,63.5,76.9,-22.52,-9.15,,,
