,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,Wichita State T,MVC,30,4,.882,17,1,.944,81.9,62.6,21.64,2.33,,20,
2,Illinois State,MVC,27,6,.818,17,1,.944,68.4,60.8,10.56,2.90,,,
3,Southern Illinois,MVC,17,16,.515,9,9,.500,68.0,69.5,1.44,3.00,,,
4,Northern Iowa,MVC,14,16,.467,9,9,.500,61.4,65.3,1.53,5.46,,,
5,Loyola (IL),MVC,18,14,.563,8,10,.444,71.7,67.6,5.43,1.29,,,
6,Missouri State,MVC,17,16,.515,7,11,.389,72.0,70.3,3.13,1.47,,,
7,Bradley,MVC,13,20,.394,7,11,.389,65.4,71.2,-2.59,3.19,,,
8,Evansville,MVC,16,17,.485,6,12,.333,68.9,69.9,1.74,2.71,,,
9,Indiana State,MVC,11,20,.355,5,13,.278,69.1,73.3,-0.70,3.50,,,
10,Drake,MVC,7,24,.226,5,13,.278,71.1,77.8,-4.47,2.16,,,
