,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,Nevada,MWC,25,6,.806,14,4,.778,79.8,71.0,10.36,1.52,,,
2,Colorado State,MWC,21,10,.677,13,5,.722,71.3,67.3,6.03,2.03,,,
3,Boise State,MWC,19,10,.655,12,6,.667,75.8,71.6,6.34,2.20,,,
4,Fresno State,MWC,19,11,.633,11,7,.611,73.6,70.9,4.51,1.76,,,
5,New Mexico,MWC,17,13,.567,10,8,.556,74.1,72.9,3.39,2.23,,,
6,San Diego State,MWC,18,13,.581,9,9,.500,67.6,62.2,6.90,1.50,,,
7,Wyoming,MWC,18,14,.563,8,10,.444,77.5,76.9,2.21,1.64,,,
8,Utah State,MWC,15,16,.484,7,11,.389,72.0,71.1,3.34,2.41,,,
9,San Jose State,MWC,14,16,.467,7,11,.389,70.6,75.2,-2.61,1.96,,,
10,Air Force,MWC,12,20,.375,4,14,.222,72.1,75.4,-2.36,0.97,,,
11,Nevada-Las Vegas,MWC,11,21,.344,4,14,.222,68.8,75.2,-3.59,2.76,,,
