,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,Mount St. Mary's,NEC,19,15,.559,14,4,.778,68.3,68.6,-4.22,-3.95,,,
2,Long Island University,NEC,20,12,.625,13,5,.722,71.0,70.3,-7.41,-8.12,,,
3,Wagner,NEC,16,14,.533,11,7,.611,67.3,66.6,-6.72,-7.48,,,
4,Saint Francis (PA),NEC,16,16,.500,11,7,.611,74.2,74.5,-7.59,-7.27,,,
5,Robert Morris,NEC,14,19,.424,9,9,.500,64.4,67.8,-8.16,-4.73,,,
6,Bryant,NEC,12,20,.375,9,9,.500,73.7,78.0,-9.27,-5.01,,,
7,Fairleigh Dickinson,NEC,11,19,.367,9,9,.500,72.0,75.9,-8.90,-4.93,,,
8,Sacred Heart,NEC,13,19,.406,8,10,.444,72.7,76.1,-10.59,-7.16,,,
9,Central Connecticut State,NEC,6,23,.207,4,14,.222,63.0,72.8,-17.09,-7.26,,,
10,St. Francis (NY),NEC,4,27,.129,2,16,.111,61.7,74.4,-18.82,-6.12,,,
