,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,Arizona,Pac-12,27,4,.871,16,2,.889,75.2,64.3,17.89,6.92,10,4,
2,Oregon,Pac-12,27,4,.871,16,2,.889,78.8,65.1,20.93,7.23,5,4,
3,UCLA,Pac-12,28,3,.903,15,3,.833,91.3,75.0,21.67,5.38,16,2,
4,Utah,Pac-12,20,10,.667,11,7,.611,78.3,69.3,13.36,4.36,,,
5,Southern California,Pac-12,24,8,.750,10,8,.556,78.8,73.1,11.09,5.34,,22,
6,University of California,Pac-12,20,11,.645,10,8,.556,68.0,62.4,11.74,6.13,,25,
7,Colorado,Pac-12,19,13,.594,8,10,.444,75.3,71.4,9.80,5.87,,,
8,Arizona State,Pac-12,15,17,.469,7,11,.389,79.3,81.7,4.60,7.07,,,
9,Stanford,Pac-12,14,17,.452,6,12,.333,69.4,71.6,6.79,8.99,,,
10,Washington State,Pac-12,13,18,.419,6,12,.333,69.9,76.7,0.43,7.17,,,
11,Washington,Pac-12,9,22,.290,2,16,.111,76.4,81.1,2.40,7.08,,,
12,Oregon State,Pac-12,5,27,.156,1,17,.056,62.5,73.0,-4.21,6.27,,,
