,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,Kentucky,SEC,26,5,.839,16,2,.889,86.8,72.1,24.52,9.84,2,1,
2,Florida,SEC,24,7,.774,14,4,.778,78.8,66.4,22.96,10.54,,12,
3,Arkansas,SEC,23,8,.742,12,6,.667,80.6,74.2,14.00,7.58,,,
4,South Carolina,SEC,22,9,.710,12,6,.667,72.1,64.6,16.24,8.70,,16,
5,Mississippi,SEC,19,12,.613,10,8,.556,77.6,76.2,9.59,8.18,,,
6,Alabama,SEC,17,13,.567,10,8,.556,68.4,64.7,10.73,7.03,,,
7,Vanderbilt,SEC,17,14,.548,10,8,.556,71.7,69.0,13.18,10.44,,,
8,Georgia,SEC,18,13,.581,9,9,.500,72.0,70.5,11.79,10.26,,,
9,Texas A&M,SEC,16,14,.533,8,10,.444,71.2,67.9,11.25,7.95,,,
10,Tennessee,SEC,16,15,.516,8,10,.444,74.4,73.2,11.50,10.30,,,
11,Auburn,SEC,18,14,.563,7,11,.389,80.4,79.6,8.47,7.63,,,
12,Mississippi State,SEC,16,15,.516,6,12,.333,73.1,71.2,7.78,5.88,,,
13,Louisiana State,SEC,10,21,.323,2,16,.111,74.8,83.0,0.86,9.03,,,
14,Missouri,SEC,8,23,.258,2,16,.111,69.0,72.5,3.32,6.80,,,
