,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,East Tennessee State,Southern,27,7,.794,14,4,.778,79.6,69.4,7.86,-2.33,,,
2,North Carolina-Greensboro,Southern,25,9,.735,14,4,.778,72.8,69.8,0.50,-2.54,,,
3,Furman,Southern,21,11,.656,14,4,.778,72.7,67.3,2.25,-3.12,,,
4,Chattanooga,Southern,19,12,.613,10,8,.556,72.6,69.4,1.56,-1.61,,,
5,Wofford,Southern,16,17,.485,10,8,.556,76.0,75.7,-0.17,-0.54,,,
6,Mercer,Southern,15,17,.469,9,9,.500,69.5,69.7,-0.52,-0.32,,,
7,Samford,Southern,19,15,.559,8,10,.444,78.5,76.4,-1.08,-3.14,,,
8,Citadel,Southern,12,21,.364,4,14,.222,85.2,95.1,-12.37,-2.43,,,
9,Western Carolina,Southern,9,23,.281,4,14,.222,59.7,74.3,-14.67,-0.07,,,
10,Virginia Military Institute,Southern,6,24,.200,3,15,.167,68.1,80.2,-13.35,-1.24,,,
