,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,New Orleans,Southland,18,11,.621,13,5,.722,70.7,69.8,-4.22,-5.07,,,
2,Texas A&M-Corpus Christi,Southland,19,10,.655,12,6,.667,73.7,72.6,-5.23,-6.38,,,
3,Houston Baptist,Southland,17,12,.586,12,6,.667,75.8,77.9,-6.05,-3.89,,,
4,Stephen F. Austin,Southland,17,13,.567,12,6,.667,68.0,68.9,-6.43,-5.58,,,
5,Sam Houston State,Southland,20,12,.625,10,8,.556,71.7,72.7,-7.03,-6.03,,,
6,Lamar,Southland,19,13,.594,10,8,.556,74.6,73.1,-6.42,-7.96,,,
7,Southeastern Louisiana,Southland,16,16,.500,9,9,.500,69.8,69.0,-6.97,-7.73,,,
8,Nicholls State,Southland,14,17,.452,7,11,.389,72.7,82.1,-14.20,-4.87,,,
9,Abilene Christian,Southland,13,16,.448,7,11,.389,67.9,72.6,-11.64,-6.88,,,
10,Northwestern State,Southland,13,16,.448,7,11,.389,74.2,80.2,-11.66,-5.70,,,
11,Incarnate Word,Southland,12,17,.414,7,11,.389,74.7,81.2,-11.87,-5.35,,,
12,Central Arkansas,Southland,8,24,.250,7,11,.389,74.8,84.1,-12.76,-3.48,,,
13,McNeese State,Southland,7,22,.241,4,14,.222,68.9,79.1,-13.98,-3.83,,,
