,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,Texas-Arlington,Sun Belt,24,7,.774,14,4,.778,76.9,69.9,5.94,-1.00,,,
2,Georgia State,Sun Belt,19,11,.633,12,6,.667,72.7,70.0,0.80,-1.85,,,
3,Arkansas State,Sun Belt,20,12,.625,11,7,.611,72.5,69.5,1.18,-1.79,,,
4,Texas State,Sun Belt,18,12,.600,11,7,.611,66.7,65.7,-3.41,-4.45,,,
5,Georgia Southern,Sun Belt,18,13,.581,11,7,.611,75.0,74.3,-1.90,-2.59,,,
6,Louisiana-Lafayette,Sun Belt,21,11,.656,10,8,.556,80.6,77.5,0.10,-2.96,,,
7,Troy,Sun Belt,19,14,.576,10,8,.556,75.9,73.1,-1.19,-3.96,,,
8,Coastal Carolina,Sun Belt,16,16,.500,10,8,.556,71.4,73.6,-3.26,-1.06,,,
9,South Alabama,Sun Belt,14,18,.438,7,11,.389,70.9,74.6,-6.28,-2.62,,,
10,Arkansas-Little Rock,Sun Belt,15,17,.469,6,12,.333,66.4,68.6,-5.73,-3.46,,,
11,Appalachian State,Sun Belt,9,21,.300,4,14,.222,70.5,77.5,-8.28,-1.21,,,
12,Louisiana-Monroe,Sun Belt,9,23,.281,2,16,.111,66.0,71.1,-7.29,-2.19,,,
