,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,Texas Southern,SWAC,21,11,.656,16,2,.889,75.4,72.9,-5.47,-7.97,,,
2,Alcorn State,SWAC,17,13,.567,13,5,.722,67.8,70.0,-12.70,-10.52,,,
3,Grambling,SWAC,16,16,.500,10,8,.556,68.8,74.2,-17.02,-11.60,,,
4,Southern,SWAC,15,17,.469,10,8,.556,71.0,73.2,-13.38,-11.24,,,
5,Jackson State,SWAC,14,18,.438,10,8,.556,64.0,67.9,-14.94,-11.08,,,
6,Prairie View,SWAC,13,20,.394,10,8,.556,67.9,74.0,-14.13,-8.07,,,
7,Mississippi Valley State,SWAC,7,25,.219,7,11,.389,69.8,83.3,-20.19,-6.75,,,
8,Alabama State,SWAC,8,23,.258,6,12,.333,65.6,74.6,-19.42,-10.42,,,
9,Arkansas-Pine Bluff,SWAC,7,25,.219,6,12,.333,60.7,73.2,-22.39,-9.86,,,
10,Alabama A&M,SWAC,2,27,.069,2,16,.111,61.9,77.8,-26.59,-10.70,,,
