,,,Overall,Overall,Overall,Conference,Conference,Conference,PTS/G,PTS/G,SRS,SRS,Polls,Polls,Polls
Rk,School,Conf,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,AP Pre,AP High,AP Final
1,Gonzaga,WCC,32,1,.970,17,1,.944,84.6,61.2,25.88,2.46,14,1,
2,Saint Mary's (CA),WCC,28,4,.875,16,2,.889,72.0,56.5,17.35,1.85,17,12,
3,Brigham Young,WCC,22,11,.667,12,6,.667,80.4,73.3,9.18,2.14,,,
4,San Francisco,WCC,20,12,.625,10,8,.556,70.8,67.0,4.65,0.88,,,
5,Santa Clara,WCC,17,16,.515,10,8,.556,66.5,65.9,3.16,2.50,,,
6,Loyola Marymount,WCC,15,15,.500,8,10,.444,69.4,71.5,0.08,2.15,,,
7,San Diego,WCC,13,18,.419,6,12,.333,64.0,70.7,-5.30,1.41,,,
8,Pepperdine,WCC,9,22,.290,5,13,.278,68.5,80.4,-9.50,2.37,,,
9,Pacific,WCC,11,22,.333,4,14,.222,65.8,72.4,-4.05,2.61,,,
10,Portland,WCC,11,22,.333,2,16,.111,65.2,73.3,-5.25,2.88,,,
