player_id	player_name	team_id	team_name	jersey	year	pos	height	played	started	minutes	fgm	fga	fgpct	three_fgm	three_fga	three_fgpct	ft	fta	ftpct	pts	ptsavg	offreb	defreb	totreb	rebavg	ast	to	stl	blk	fouls	dbldbl	trpdbl
1847050	Weisbrod, Colton	346	Lamar University	21	Jr	F	6-5	31	31	978:00	172	329	52.28	1	6	16.67	146	204	71.57	491	15.84	84	177	261	8.42	30	81	17	5	67	10	
1747037	Nzeakor, Josh	346	Lamar University	11	So	F	6-7	31	29	645:00	104	176	59.09		1	0.00	50	95	52.63	258	8.32	66	94	160	5.16	19	49	14	23	76	3	
1747035	Garth, Nick	346	Lamar University	03	So	G	6-0	31	8	788:00	124	272	45.59	89	208	42.79	44	60	73.33	381	12.29	5	42	47	1.52	45	22	30	1	56		
1847048	Frenchwood, Joey	346	Lamar University	32	Jr	G	6-1	31	31	809:00	97	238	40.76	37	122	30.33	36	58	62.07	267	8.61	8	53	61	1.97	140	74	48	6	74	3	
1847047	Albright, Christian	346	Lamar University	30	Jr	C	6-8	30	1	362:00	42	102	41.18	13	50	26.00	11	18	61.11	108	3.60	16	50	66	2.20	19	20	11	5	50		
1512529	Owens, Marcus	346	Lamar University	20	Sr	G	6-2	30	11	479:00	49	124	39.52	35	89	39.33	10	12	83.33	143	4.77	26	67	93	3.10	13	13	10	2	63		
1747034	Chatman, Dorian	346	Lamar University	02	So	F	6-7	29	1	432:00	69	142	48.59	2	11	18.18	40	63	63.49	180	6.21	43	49	92	3.17	24	40	18	19	84		
1628098	Bosha, Zjori	346	Lamar University	12	Jr	G	6-5	29	20	676:00	64	144	44.44	27	78	34.62	45	62	72.58	200	6.90	38	72	110	3.79	35	25	48	13	64	1	
1847046	Noel, Torey	346	Lamar University	10	Jr	G	5-10	29	11	487:00	44	125	35.20	12	40	30.00	50	81	61.73	150	5.17	9	32	41	1.41	80	47	34	3	67	1	
1747036	Davis, Lincoln	346	Lamar University	05	Sr	G	6-1	25	12	327:00	46	100	46.00	21	46	45.65	17	23	73.91	130	5.20	2	27	29	1.16	19	18	8	2	36		
1847045	McGee, Cameron	346	Lamar University	4	Fr	G	6-2	16	0	123:00	15	41	36.59	7	21	33.33	22	30	73.33	59	3.69	3	9	12	0.75	21	8	7		14		
1747039	Hubby, Terrance	346	Lamar University	13	So	G	6-5	13	0	83:00	10	15	66.67		1	0.00	11	21	52.38	31	2.38	3	15	18	1.38		4	5	3	13		
1847049	Atwood, Tyrin	346	Lamar University	15	Fr	G	6-6	13	0	86:00	10	26	38.46		2	0.00	9	13	69.23	29	2.23	5	11	16	1.23	4	3	2	2	7		
1620674	Roberts, Cleon	340	La Salle	3	Sr	G	6-6	29	13	678:00	59	148	39.86	41	92	44.57	49	65	75.38	208	7.17	18	46	64	2.21	33	31	36	8	60		
1509825	Stukes, Amar	340	La Salle	2	Jr	G	6-2	29	26	906:00	82	160	51.25	8	27	29.63	65	79	82.28	237	8.17	24	60	84	2.90	125	51	36	1	82		
1620673	Price, Jordan	340	La Salle	21	Sr	G	6-5	29	27	946:00	148	347	42.65	65	189	34.39	78	99	78.79	439	15.14	17	108	125	4.31	74	69	19	8	58		
1620677	Washington, Tony	340	La Salle	5	Jr	C	6-10	29	12	467:00	60	103	58.25				25	40	62.50	145	5.00	39	80	119	4.10	15	38	5	10	80		
1847399	Johnson, B.J.	340	La Salle	20	Jr	F	6-7	28	27	907:00	160	357	44.82	63	171	36.84	107	126	84.92	490	17.50	38	140	178	6.36	28	65	31	14	68	3	
1847400	Henry, Demetrius	340	La Salle	24	Jr	F	6-9	28	17	527:00	60	97	61.86				44	67	65.67	164	5.86	43	69	112	4.00	20	40	8	17	79	1	
1620676	Shuler, Johnnie	340	La Salle	1	Jr	G	5-11	26	1	347:00	24	59	40.68	17	42	40.48	11	16	68.75	76	2.92	7	27	34	1.31	26	21	11		30		
1847397	Powell, Pookie	340	La Salle	0	So	G	6-0	23	17	713:00	101	232	43.53	37	106	34.91	73	85	85.88	312	13.57	8	91	99	4.30	73	33	30	1	41		
1847398	Phiri, Saul	340	La Salle	13	Fr	G	6-4	23	1	146:00	13	38	34.21	7	26	26.92	8	13	61.54	41	1.78	7	14	21	0.91	4	7	5	2	15		
1857297	Deas, Isiah	340	La Salle	10	N/A	G	-	17	2	168:00	18	49	36.73	7	24	29.17	11	18	61.11	54	3.18	2	16	18	1.06	10	8	3	1	12		
1620675	Sakhniuk, Yevgen	340	La Salle	12	Jr	F	6-7	17	1	83:00	8	18	44.44				3	6	50.00	19	1.12	5	5	10	0.59	5	5	1	2	13		
1525389	Davis, Hank	340	La Salle	4	Sr	C	5-11	7	1	12:00	1	4	25.00		2	0.00	6	7	85.71	8	1.14					1	3			1		
1857324	Cherry, Myles	342	Lafayette	54	N/A		-	30	3	445:00	38	73	52.05		1	0.00	19	36	52.78	95	3.17	28	73	101	3.37	16	23	15	14	46		
1513448	Lindner, Nick	342	Lafayette	11	Sr	G	5-10	30	30	1001:00	119	297	40.07	77	204	37.75	86	110	78.18	401	13.37	12	61	73	2.43	119	76	22	1	67		
1620933	Klinewski, Matt	342	Lafayette	13	Jr	F	6-8	30	30	825:00	195	380	51.32		2	0.00	91	118	77.12	481	16.03	48	131	179	5.97	36	76	14	16	80	2	
1734407	Zalys, Paulius	342	Lafayette	33	So	F	6-7	30	19	697:00	104	229	45.41	32	99	32.32	32	47	68.09	272	9.07	21	101	122	4.07	46	69	12	7	62		
1857323	Stout, Kyle	342	Lafayette	24	N/A		-	30	13	802:00	67	180	37.22	41	126	32.54	23	35	65.71	198	6.60	17	99	116	3.87	34	34	11	9	63		
1857322	Jarrett, Lukas	342	Lafayette	23	N/A		-	30	16	542:00	45	101	44.55	6	22	27.27	16	21	76.19	112	3.73	26	75	101	3.37	23	36	17	26	43		
1857320	Janacek, Hunter	342	Lafayette	05	N/A		-	30	12	545:00	54	156	34.62	41	121	33.88	28	31	90.32	177	5.90	9	48	57	1.90	24	24	12		33		
1734404	Evans, Auston	342	Lafayette	12	So	G	6-6	29	9	484:00	33	96	34.38	1	18	5.56	13	36	36.11	80	2.76	9	41	50	1.72	25	37	27	8	50		
1620934	Stafford, Eric	342	Lafayette	4	Jr	G	6-5	26	17	643:00	54	129	41.86	22	58	37.93	41	56	73.21	171	6.58	11	60	71	2.73	55	50	16	4	67		
1857321	Panzini, Jimmy	342	Lafayette	10	N/A		-	10	0	13:00	1	1	100.00							2	0.20						2	1		2		
1879247	Reichwein, Cal	342	Lafayette	14	N/A		-	3	0	4:00	1	4	25.00		2	0.00	1	1	100.00	3	1.00											
1513450	Boykins, Monty	342	Lafayette	32	Sr	G	6-4	1	1	25:00	1	9	11.11	1	8	12.50		1	0.00	3	3.00		2	2	2.00		1	1		1		
1845247	Custer, Ryan	810	Wright St.	33	Fr	F	6-7	30	0	289:00	19	59	32.20	7	30	23.33	16	26	61.54	61	2.03	24	21	45	1.50	12	11	11	6	48		
1447324	Davis, Steven	810	Wright St.	0	Sr	F	6-8	30	30	858:00	160	323	49.54	47	124	37.90	79	104	75.96	446	14.87	52	80	132	4.40	31	63	15	14	87		
1845243	La Tulip, Mike	810	Wright St.	05	Sr	G	6-1	30	24	795:00	65	162	40.12	49	124	39.52	44	53	83.02	223	7.43	6	87	93	3.10	46	23	31	2	51		
1732218	Alstork, Mark	810	Wright St.	24	Jr	G	6-5	30	28	905:00	168	428	39.25	66	171	38.60	170	198	85.86	572	19.07	25	118	143	4.77	99	127	23	19	86	2	
1619155	Mitchell, Justin	810	Wright St.	1	Jr	G	6-4	30	30	939:00	127	241	52.70	3	13	23.08	81	128	63.28	338	11.27	65	186	251	8.37	114	100	28	14	80	5	1
1619157	Benzinger, Grant	810	Wright St.	13	Jr	G	6-3	30	30	981:00	120	283	42.40	67	163	41.10	63	75	84.00	370	12.33	44	124	168	5.60	50	43	23	5	82	4	
1732214	Ernsthausen, Parker	810	Wright St.	22	So	F	6-11	29	8	547:00	51	79	64.56		1	0.00	50	69	72.46	152	5.24	37	23	60	2.07	26	25	13	7	61		
1732215	Hughes, Mark	810	Wright St.	3	So	G	6-4	25	0	451:00	29	80	36.25	13	43	30.23	8	16	50.00	79	3.16	16	48	64	2.56	37	29	15	5	36		
1732217	Vest, Alan	810	Wright St.	4	So	G	6-3	18	0	131:00	4	14	28.57	3	6	50.00	3	4	75.00	14	0.78	2	11	13	0.72	10	4	5		4		
1845246	Wilburn, Tye	810	Wright St.	12	Jr	G	5-11	16	0	118:00	9	19	47.37	1	7	14.29	5	7	71.43	24	1.50	2	13	15	0.94	13	11	6		14		
