team_id	team_name	team_minutes	team_fgm	team_fga	team_fgpct	team_three_fgm	team_three_fga	team_three_fgpct	team_ft	team_fta	team_ftpct	team_pts	team_ptsavg	team_offreb	team_defreb	team_totreb	team_rebavg	team_ast	team_to	team_stl	team_blk	team_fouls	team_dbldbl	team_trpdbl	opp_team_minutes	opp_team_fgm	opp_team_fga	opp_team_fgpct	opp_team_three_fgm	opp_team_three_fga	opp_team_three_fgpct	opp_team_ft	opp_team_fta	opp_team_ftpct	opp_team_pts	opp_team_ptsavg	opp_team_offreb	opp_team_defreb	opp_team_totreb	opp_team_rebavg	opp_team_ast	opp_team_to	opp_team_stl	opp_team_blk	opp_team_fouls	opp_team_dbldbl	opp_team_trpdbl
346	Lamar University	6275:00	846	1,834	46.13	244	675	36.15	491	740	66.35	2,427	78.29	368	748	1,116	36.00	449	413	252	84	671			6275:00	785	1,707	45.99	170	529	32.14	484	691	70.04	2,224	71.74	307	760	1,067	34.42	411	495	179	144	627		
340	La Salle	5900:00	734	1,612	45.53	245	679	36.08	480	621	77.29	2,193	75.62	243	704	947	32.66	414	377	185	64	540			5900:00	783	1,681	46.58	251	638	39.34	398	553	71.97	2,215	76.38	271	696	967	33.34	427	360	183	85	534		
342	Lafayette	6026:00	712	1,655	43.02	221	661	33.43	350	492	71.14	1,995	66.50	205	751	956	31.87	378	436	148	85	515			6029:00	807	1,767	45.67	292	771	37.87	376	550	68.36	2,282	76.07	302	819	1,121	37.37	449	389	229	65	541		
810	Wright St.	6050:00	760	1,699	44.73	261	689	37.88	520	682	76.25	2,301	76.70	309	752	1,061	35.37	439	449	172	72	552			6050:00	760	1,714	44.34	230	665	34.59	436	611	71.36	2,186	72.87	273	718	991	33.03	367	438	202	92	657		
811	Wyoming	6325:00	795	1,860	42.74	297	868	34.22	524	719	72.88	2,411	77.77	266	932	1,198	38.65	464	413	165	148	660			6325:00	785	1,944	40.38	208	664	31.33	555	771	71.98	2,333	75.26	342	894	1,236	39.87	355	388	210	100	662		
812	Xavier	6225:00	800	1,771	45.17	219	643	34.06	509	740	68.78	2,328	75.10	385	795	1,180	38.06	466	395	191	83	597			6225:00	787	1,742	45.18	232	692	33.53	424	604	70.20	2,230	71.94	261	703	964	31.10	439	379	199	122	672		
813	Yale	5025:00	661	1,417	46.65	181	500	36.20	351	473	74.21	1,854	74.16	258	651	909	36.36	387	339	137	111	403			5025:00	642	1,482	43.32	183	549	33.33	285	400	71.25	1,752	70.08	246	566	812	32.48	338	303	168	88	435		
817	Youngstown St.	6751:00	952	2,165	43.97	242	732	33.06	396	587	67.46	2,542	77.03	344	866	1,210	36.67	500	394	181	104	552			6749:00	1,003	2,177	46.07	267	783	34.10	442	616	71.75	2,717	82.33	388	956	1,344	40.73	544	407	194	113	583		
2915	Wofford	6750:00	900	1,926	46.73	311	771	40.34	482	618	77.99	2,593	78.58	323	784	1,107	33.55	552	405	186	71	616			6751:00	881	1,868	47.16	216	632	34.18	501	688	72.82	2,479	75.12	303	789	1,092	33.09	409	412	209	90	604		
719	Tulsa	6025:00	662	1,576	42.01	222	646	34.37	485	665	72.93	2,031	67.70	293	754	1,047	34.90	344	444	138	74	546			6026:00	739	1,697	43.55	241	666	36.19	390	558	69.89	2,109	70.30	293	701	994	33.13	370	382	213	123	603		
718	Tulane	6075:00	734	1,804	40.69	216	662	32.63	435	612	71.08	2,119	70.63	339	693	1,032	34.40	389	408	186	112	622			6075:00	824	1,738	47.41	229	597	38.36	491	699	70.24	2,368	78.93	332	815	1,147	38.23	414	424	189	112	549		
716	Troy	6225:00	839	1,835	45.72	272	746	36.46	510	709	71.93	2,460	79.35	357	815	1,172	37.81	414	406	185	118	563			6225:00	797	1,856	42.94	250	733	34.11	432	602	71.76	2,276	73.42	327	739	1,066	34.39	409	390	190	92	591		
711	Towson	6675:00	850	1,900	44.74	155	499	31.06	592	868	68.20	2,447	74.15	445	860	1,305	39.55	348	426	226	118	686			6675:00	740	1,769	41.83	240	705	34.04	563	820	68.66	2,285	69.24	296	747	1,043	31.61	378	437	178	135	703		
1068	Elon	6549:00	850	1,911	44.48	308	868	35.48	395	577	68.46	2,403	75.09	291	918	1,209	37.78	466	374	165	76	532			6550:00	836	1,990	42.01	251	786	31.93	369	524	70.42	2,292	71.62	330	872	1,202	37.56	352	353	191	101	581		
19651	High Point	6299:00	732	1,692	43.26	196	520	37.69	473	636	74.37	2,133	68.81	307	781	1,088	35.10	390	407	184	96	540			6299:00	754	1,715	43.97	254	699	36.34	374	553	67.63	2,136	68.90	287	750	1,037	33.45	399	419	209	117	599		
299	Illinois St.	6625:00	811	1,851	43.81	271	747	36.28	378	572	66.08	2,271	68.82	347	874	1,221	37.00	447	412	237	158	585			6625:00	684	1,816	37.67	226	706	32.01	418	599	69.78	2,012	60.97	343	788	1,131	34.27	361	422	194	86	549		
294	Idaho St.	6050:00	719	1,657	43.39	231	642	35.98	419	613	68.35	2,088	69.60	226	667	893	29.77	306	409	218	71	554			6049:00	848	1,762	48.13	281	709	39.63	418	581	71.94	2,395	79.83	305	803	1,108	36.93	442	392	205	96	568		
295	Idaho	5950:00	714	1,651	43.25	224	612	36.60	487	674	72.26	2,139	73.76	321	754	1,075	37.07	376	373	141	69	624			5950:00	662	1,600	41.38	252	717	35.15	510	693	73.59	2,086	71.93	265	707	972	33.52	348	360	153	93	597		
290	Howard	6400:00	680	1,735	39.19	161	556	28.96	523	793	65.95	2,044	63.88	390	791	1,181	36.91	285	478	164	114	600			6400:00	796	1,861	42.77	249	695	35.83	461	667	69.12	2,302	71.94	390	810	1,200	37.50	467	401	222	93	672		
590	Sacred Heart	6524:00	832	1,882	44.21	200	597	33.50	462	659	70.11	2,326	72.69	361	833	1,194	37.31	459	516	217	86	617			6525:00	871	1,895	45.96	258	681	37.89	436	631	69.10	2,436	76.12	310	807	1,117	34.91	405	458	261	132	642		
198	ETSU	6875:00	935	1,904	49.11	256	669	38.27	591	840	70.36	2,717	79.91	344	893	1,237	36.38	504	502	284	162	679			6875:00	793	1,909	41.54	267	751	35.55	505	702	71.94	2,358	69.35	330	756	1,086	31.94	372	529	231	123	720		
596	St. Bonaventure	6050:00	780	1,752	44.52	192	546	35.16	571	748	76.34	2,323	77.43	350	739	1,089	36.30	398	378	218	135	629			6052:00	731	1,702	42.95	232	651	35.64	488	693	70.42	2,182	72.73	334	698	1,032	34.40	418	441	159	111	622		
599	St. Francis Brooklyn	6250:00	650	1,871	34.74	221	792	27.90	400	616	64.94	1,921	61.97	390	689	1,079	34.81	287	379	208	89	673			6251:00	795	1,677	47.41	161	458	35.15	533	783	68.07	2,284	73.68	338	955	1,293	41.71	377	433	166	106	585		
