game_id	game_date	site	team_id	team_name	team_minutes	team_fgm	team_fga	team_three_fgm	team_three_fga	team_ft	team_fta	team_pts	team_offreb	team_defreb	team_totreb	team_ast	team_to	team_stl	team_blk	team_fouls
4252470	12/05/2016	Away	/team/94/12480	CSU Bakersfield	200:00	34	61	7	21	6	10	81	11	33	44	17	13	4	5	26
4252470	12/05/2016	Home	/team/501/12480	Northern Ariz.	200:00	14	59	4	24	15	28	47	18	19	37	9	11	4	3	13
4275287	01/24/2017	Away	/team/718/12480	Tulane	200:00	18	59	5	23	10	18	51	12	25	37	9	12	5	1	22
4275287	01/24/2017	Home	/team/288/12480	Houston	200:00	22	55	7	22	14	20	65	11	33	44	12	13	2	3	19
4250766	12/03/2016	Away	/team/536/12480	UTRGV	200:00	27	56	9	25	11	18	74	10	22	32	17	17	10	3	15
4250766	12/03/2016	Home	/team/550/12480	Portland St.	200:00	32	56	13	22	10	14	87	4	22	26	23	13	12	1	17
4276953	01/28/2017	Away	/team/365/12480	LSU	200:00	23	49	9	21	9	16	64	3	22	25	13	12	2	3	17
4276953	01/28/2017	Home	/team/700/12480	Texas Tech	200:00	25	52	12	23	15	21	77	9	24	33	17	10	2	2	15
4304450	03/02/2017	Away	/team/725/12480	Army West Point	200:00	22	62	6	20	12	18	62	10	33	43	13	15	6	3	16
4304450	03/02/2017	Home	/team/83/12480	Bucknell	200:00	30	65	12	30	6	14	78	7	32	39	18	11	11	7	16
4281467	02/05/2017	Away	/team/147/12480	Clemson	200:00	21	56	8	21	11	19	61	15	15	30	11	22	6	3	15
4281467	02/05/2017	Home	/team/234/12480	Florida St.	200:00	41	62	17	30	10	12	109	7	22	29	26	14	9	5	18
4274887	01/23/2017	Away	/team/178/12480	Delaware St.	200:00	27	65	12	31	13	24	79	11	27	38	19	19	4	4	20
4274887	01/23/2017	Home	/team/632/12480	Savannah St.	200:00	31	68	14	41	18	25	94	12	34	46	22	16	10	4	20
4274889	01/23/2017	Away	/team/671/12480	Louisiana	200:00	24	73	9	31	14	22	71	18	18	36	15	13	7	2	20
4274889	01/23/2017	Home	/team/702/12480	UT Arlington	200:00	40	70	13	31	15	21	108	17	35	52	27	16	9	4	18
4286858	02/11/2017	Away	/team/196/12480	East Carolina	200:00	19	53	9	28	10	20	57	13	24	37	12	15	1	3	19
4286858	02/11/2017	Home	/team/651/12480	South Fla.	200:00	23	54	5	15	13	19	64	9	26	35	13	9	5	4	21
4252695	12/06/2016	Away	/team/30024/12480	Utah Valley	200:00	32	65	7	20	9	13	80	9	25	34	19	12	5	4	20
4252695	12/06/2016	Home	/team/732/12480	Utah	200:00	31	61	10	22	15	20	87	9	26	35	14	11	2	5	14
4252694	12/06/2016	Away	/team/471/12480	NJIT	200:00	25	73	8	32	10	14	68	13	26	39	11	7	5	1	24
4252694	12/06/2016	Home	/team/428/12480	Minnesota	200:00	21	51	9	21	23	29	74	6	38	44	11	14	2	10	17
