player_id	player_name	team_id	team_name	jersey	year	pos	height	played	started	minutes	fgm	fga	fgpct	three_fgm	three_fga	three_fgpct	ft	fta	ftpct	pts	ptsavg	offreb	defreb	totreb	rebavg	ast	to	stl	blk	fouls	dbldbl	trpdbl
2086913	Young, Zion	771	Western Ill.	01	Fr	G	6-4	31	7	31	529:55	70	160	43.75	27	59	45.76	37	47	78.72	204	6.58	16	50	66	2.13	20	37	10	1	42	0
1963986	Johnson, Isaac	771	Western Ill.	35	So	G	6-5	31	21	31	813:28	138	331	41.69	17	64	26.56	51	64	79.69	344	11.10	17	140	157	5.06	36	60	29	2	69	1
1963985	Webster, Kobe	771	Western Ill.	10	So	G	6-0	31	31	31	1053:42	195	455	42.86	76	184	41.30	60	85	70.59	526	16.97	14	123	137	4.42	97	50	34	1	60	1
1854036	Duff, C.J.	771	Western Ill.	40	Jr	G	6-1	31	31	31	1027:01	125	299	41.81	57	135	42.22	27	33	81.82	334	10.77	14	74	88	2.84	51	38	26		73	1
1735159	Gilbeck, Brandon	771	Western Ill.	52	Sr	C	6-11	31	31	31	813:30	121	214	56.54		1	0.00	53	93	56.99	295	9.52	88	174	262	8.45	25	80	21	106	98	7
2086950	Pyle, Ben	771	Western Ill.	15	Fr	F	6-7	30	29	30	832:03	84	214	39.25	47	128	36.72	40	50	80.00	255	8.50	15	100	115	3.83	52	36	27	1	36	2
1735155	Claar, James	771	Western Ill.	24	Jr	F	6-8	29		29	281:01	28	42	66.67				13	17	76.47	69	2.38	25	30	55	1.90	4	9	4	14	38	0
1854030	Usiosefe, Jeremiah	771	Western Ill.	20	Jr	G	6-5	25	5	25	406:00	24	76	31.58	10	35	28.57	20	24	83.33	78	3.12	10	51	61	2.44	14	15	4	2	31	0
1735158	Hughes, Jordan	771	Western Ill.	44	Sr	C	6-10	21		21	150:16	19	29	65.52				10	13	76.92	48	2.29	13	22	35	1.67		8	3	4	20	1
2086916	Montague, Keshon	771	Western Ill.	22	Jr	G	6-0	20		20	233:54	10	26	38.46	7	18	38.89	4	5	80.00	31	1.55		19	19	0.95	16	9	3		13	0
1735157	Maas, Ryan	771	Western Ill.	25	Sr	G	6-1	11		11	31:21	3	8	37.50		1	0.00	2	3	66.67	8	0.73	1	5	6	0.55	1	2				0
1963972	Dortch, Otis	771	Western Ill.	12	Sr	G	5-10	10		10	17:21	1	4	25.00		1	0.00	3	4	75.00	5	0.50		1	1	0.10		1	1	1	4	0
2086914	Little, Perion	771	Western Ill.	14	Jr	G	6-4	9		9	27:46		2	0.00				1	2	50.00	1	0.11		3	3	0.33	3	4	3		1	0
2086917	Weyhrich, Jake	771	Western Ill.	30	So	F	6-7	7		7	6:34													3	3	0.43					2	0
2080888	Nichols, David	234	Florida St.	11	Sr	G	6-1	34	1	34	594:17	75	194	38.66	33	106	31.13	33	47	70.21	216	6.35	8	48	56	1.65	58	49	22	2	74	0
1734224	Mann, Terance	234	Florida St.	14	Sr	G	6-6	34	33	34	1073:08	133	264	50.38	30	71	42.25	84	107	78.50	380	11.18	86	131	217	6.38	84	63	22	9	74	2
1734225	Koumadje, Christ	234	Florida St.	21	Sr	C	7-4	34	34	34	535:41	97	157	61.78		1	0.00	30	53	56.60	224	6.59	69	122	191	5.62	8	39	7	51	67	2
1845726	Kabengele, Mfiondu	234	Florida St.	25	So	F	6-9	34		34	720:03	144	291	49.48	22	60	36.67	128	167	76.65	438	12.88	71	125	196	5.76	11	44	19	50	87	2
1845723	Forrest, Trent	234	Florida St.	03	Jr	G	6-5	33	32	33	1001:31	99	232	42.67	7	30	23.33	103	133	77.44	308	9.33	28	127	155	4.70	128	67	63	7	59	0
1845724	Savoy, PJ	234	Florida St.	05	Sr	G	6-4	33	17	33	507:11	63	170	37.06	47	143	32.87	32	39	82.05	205	6.21	7	37	44	1.33	18	29	17	4	43	0
1955645	Gray, RaiQuan	234	Florida St.	01	Fr	F	6-8	32	1	32	375:50	45	97	46.39	7	26	26.92	25	36	69.44	122	3.81	20	51	71	2.22	24	27	20	4	56	0
1955619	Walker, M.J.	234	Florida St.	23	So	G	6-5	32	31	32	833:22	80	230	34.78	42	125	33.60	49	63	77.78	251	7.84	13	54	67	2.09	51	62	25	6	83	0
2080907	Vassell, Devin	234	Florida St.	24	Fr	G	6-5	30		30	307:34	49	105	46.67	25	57	43.86	17	26	65.38	140	4.67	13	32	45	1.50	17	11	17	9	29	0
1955650	Polite, Anthony	234	Florida St.	13	Fr	G	6-6	27		27	293:51	23	62	37.10	9	42	21.43	16	20	80.00	71	2.63	14	29	43	1.59	16	16	17	1	34	0
1622062	Cofer, Phil	234	Florida St.	00	Sr	F	6-8	22	19	22	576:03	61	156	39.10	29	83	34.94	12	21	57.14	163	7.41	13	63	76	3.45	18	31	3	2	30	0
1955646	Wilkes, Wyatt	234	Florida St.	31	So	F	6-8	14		14	46:38	7	18	38.89	4	13	30.77	2	3	66.67	20	1.43	4	6	10	0.71	2	5	2		8	0
1955654	Prieto, Harrison	234	Florida St.	35	So	F	6-8	8		8	14:16	3	4	75.00							6	0.75	1	3	4	0.50		2			5	0
1955621	Lindner, Justin	234	Florida St.	15	Jr	G	6-1	5		5	7:30							2	4	50.00	2	0.40	1	1	2	0.40	3	2	1		1	0
1845725	Light, Travis	234	Florida St.	20	So	G	6-5	5		5	7:30		3	0.00		3	0.00												1			0
1845727	Miles, Will	234	Florida St.	33	So	F	6-6	5		5	5:30		1	0.00				1	2	50.00	1	0.20		1	1	0.20		2	1		1	0
1951544	Hollingsworth, Taveion	772	Western Ky.	11	So	G	6-2	34	34	34	1249:30	175	419	41.77	49	154	31.82	91	118	77.12	490	14.41	35	115	150	4.41	76	72	41	8	49	1
1736933	Savage, Jared	772	Western Ky.	2	Jr	F	6-5	34	34	34	1212:08	127	349	36.39	80	222	36.04	81	99	81.82	415	12.21	16	147	163	4.79	42	43	33	14	86	1
1800460	Anderson, Josh	772	Western Ky.	4	So	G	6-6	34	28	34	1014:15	152	322	47.20	15	52	28.85	93	131	70.99	412	12.12	39	102	141	4.15	59	74	59	23	93	0
2080552	Smith, Tolu	772	Western Ky.	00	Fr	F	6-10	34		34	343:26	42	72	58.33				28	49	57.14	112	3.29	30	59	89	2.62	8	35	3	10	52	0
2080553	Bassey, Charles	772	Western Ky.	23	Fr	C	6-11	34	34	34	1068:27	188	300	62.67	9	20	45.00	110	143	76.92	495	14.56	99	241	340	10.00	24	97	27	81	88	17
2080573	Banton, Dalano	772	Western Ky.	20	Fr	G	6-8	31	12	31	469:11	39	97	40.21	8	37	21.62	19	34	55.88	105	3.39	16	76	92	2.97	65	52	14	16	27	1
1951546	Ohmer, Jake	772	Western Ky.	21	So	G	6-1	28		28	305:42	15	61	24.59	13	47	27.66	2	3	66.67	45	1.61	3	12	15	0.54	15	8	6	1	25	0
1620935	Bearden, Lamonte	772	Western Ky.	1	Sr	G	6-3	23	15	23	668:13	68	163	41.72	17	44	38.64	59	85	69.41	212	9.22	16	40	56	2.43	104	37	31	6	37	1
1951545	Nelson, Marek	772	Western Ky.	14	So	F	6-7	18	7	18	245:15	16	44	36.36	3	8	37.50	13	20	65.00	48	2.67	13	20	33	1.83	8	13	11	7	31	0
1951543	Diagne, Moustapha	772	Western Ky.	12	Jr	F	6-9	13		13	96:00	2	17	11.76	1	11	9.09				5	0.38	5	13	18	1.38	2		1	2	8	
2080571	Horton, Matt	772	Western Ky.	05	Jr	F	6-11	10		10	41:37	3	3	100.00				5	12	41.67	11	1.10	2	8	10	1.00		4	1	3	12	0
1624855	Murray, Desean	772	Western Ky.	13	Sr	F	6-3	8	3	8	163:10	25	57	43.86	3	7	42.86	23	30	76.67	76	9.50	17	19	36	4.50	13	10	6	3	18	0
2080572	Gambrell, Jeremiah	772	Western Ky.	10	Fr	G	6-2	4		4	23:00	1	6	16.67	1	6	16.67				3	0.75		1	1	0.25	1	2	2		2	
2082123	Boyer-Richard, William	774	Western Mich.	20	Fr	G	6-1	32	18	32	621:28	49	108	45.37	37	75	49.33	24	31	77.42	159	4.97	3	33	36	1.12	31	38	11	3	57	0
1736471	Dugan, Seth	774	Western Mich.	50	Sr	C	7-0	32	32	32	1064:56	209	372	56.18	2	15	13.33	110	171	64.33	530	16.56	108	208	316	9.88	53	68	11	29	72	16
2082122	Emilien, Patrick	774	Western Mich.	15	Fr	F	6-6	32	12	32	679:38	48	138	34.78	26	89	29.21	30	53	56.60	152	4.75	44	82	126	3.94	25	39	13	13	33	0
1955694	Flowers, Michael	774	Western Mich.	12	So	G	6-2	32	32	32	1002:47	151	390	38.72	65	196	33.16	134	171	78.36	501	15.66	10	114	124	3.88	104	99	28	4	77	1
2082148	Wilkins, Kawanise	774	Western Mich.	11	So	F	6-5	32	19	32	741:02	83	199	41.71	13	59	22.03	56	76	73.68	235	7.34	44	106	150	4.69	50	57	16	4	92	1
1736468	Davis, Josh	774	Western Mich.	03	Sr	G	6-5	31	31	31	869:37	125	283	44.17	29	97	29.90	60	91	65.93	339	10.94	40	130	170	5.48	49	90	23	9	83	5
1857346	Printy, Jared	774	Western Mich.	04	Jr	G	6-4	29	15	29	697:02	58	155	37.42	39	118	33.05	14	20	70.00	169	5.83	8	39	47	1.62	27	24	8	11	42	0
