Team,Cost
Abilene Christian,17.81
Air Force,20.49
Akron,23.08
Alabama A&M,2.94
Alabama St.,11.2
Albany,18.26
Alcorn St.,6.18
American,19.73
Appalachian St.,22.99
Arkansas Pine Bluff,7.07
Arkansas St.,16.34
Army,19.67
Austin Peay,22.32
Ball St.,29.53
Belmont,29.96
Bethune Cookman,14.36
Binghamton,17.62
Boise St. ,29.4
Boston University,18.88
Bowling Green,22.89
Bradley,29.27
Brown,21.81
Bryant ,11.43
Bucknell,20.9
Buffalo,34.39
BYU,36.14
Cal Baptist,19.61
Cal Poly,11.7
Cal St. Bakersfield,21.31
Cal St. Fullerton,27.02
Cal St. Northridge,7.38
Campbell ,19.89
Canisius,24.37
Central Arkansas,14.58
Central Connecticut St.,13.25
Central Michigan,22.26
Charleston,30.55
Charleston Southern,19.06
Charlotte,14.25
Chattanooga,11.58
Chicago St.,5.45
Cleveland St.,13.75
Coastal Carolina,18.12
Colgate,21.02
Colorado St.,21.65
Columbia ,20.39
Coppin St.,3.51
Cornell,17.74
Dartmouth,16.84
Davidson,32.82
Dayton,30.61
Delaware,18.72
Delaware St.,1.25
Denver,19.85
Detroit ,9.81
Drake ,19.82
Drexel ,14.4
Duquesne,23.85
East Tennessee St.,24.67
Eastern Illinois,13.65
Eastern Kentucky,16.69
Eastern Michigan,29.26
Eastern Washington,22.94
Elon,20.1
Evansville,20.71
Fairfield,19.72
Fairleigh Dickinson,17.09
FIU,19.71
Florida Atlantic,13.56
Florida Gulf Coast,21.01
Fordham,18.67
Fresno St. ,29.54
Furman,26.18
Gardner Webb,17.37
George Mason,28.9
George Washington,22.01
Georgia Southern,25.89
Georgia St.,31.63
Gonzaga,47.71
Grambling St. ,12.64
Grand Canyon,25.57
Wisconsin Green Bay,17.41
Hampton,18.53
Hartford,21.84
Harvard,32.44
Hawaii,19.97
High Point,17.64
Hofstra,25.46
Holy Cross,20.88
Houston Baptist,15.02
Howard,11.73
Idaho,18.56
Idaho St.,17.31
Illinois Chicago,31.85
Incarnate Word,7.46
Indiana St.,25.78
Iona,25.71
IUPUI,14.65
Jackson St.,0.47
Jacksonville,15.36
Jacksonville St.,24.7
James Madison,25.7
Kennesaw St.,10.2
