game_id	game_date	site	team_id	team_name	team_minutes	team_fgm	team_fga	team_three_fgm	team_three_fga	team_ft	team_fta	team_pts	team_offreb	team_defreb	team_totreb	team_ast	team_to	team_stl	team_blk	team_fouls
4031717	02/27/2016	Away	/team/101/12260	CSUN	200:00	29	68	1	9	19	27	78	16	19	35	13	17	12	2	31
4031717	02/27/2016	Home	/team/277/12260	Hawaii	200:00	28	53	4	16	29	37	89	10	25	35	16	23	9	5	24
4043353	03/05/2016	Away	/team/37/12260	Auburn	200:00	25	59	7	19	9	16	66	8	27	35	11	16	10	4	21
4043353	03/05/2016	Home	/team/430/12260	Mississippi St.	200:00	26	62	11	25	16	23	79	13	30	43	15	16	8	5	14
4031710	02/27/2016	Away	/team/109/12260	UC Irvine	200:00	25	59	7	16	5	10	62	12	24	36	19	16	7	4	13
4031710	02/27/2016	Home	/team/108/12260	UC Davis	200:00	26	53	7	20	2	3	61	4	24	28	17	16	5	2	15
4031718	02/27/2016	Away	/team/30024/12260	Utah Valley	200:00	27	61	14	33	1	5	69	9	22	31	13	11	4	1	13
4031718	02/27/2016	Home	/team/1356/12260	Seattle	200:00	29	61	5	14	9	11	72	10	27	37	12	11	7	2	10
3967675	12/12/2015	Away	/team/541/12260	Pepperdine	200:00	25	58	10	19	12	15	72	7	31	38	14	10	3	3	19
3967675	12/12/2015	Home	/team/47/12260	Ball St.	200:00	22	59	9	23	10	18	63	12	28	40	13	11	2	3	16
4001953	02/04/2016	Away	/team/2707/12260	UMKC	200:00	21	46	6	16	18	25	66	9	19	28	7	15	5	3	22
4001953	02/04/2016	Home	/team/94/12260	CSU Bakersfield	200:00	28	53	6	15	15	20	77	9	21	30	17	10	5	5	21
4001957	02/04/2016	Away	/team/277/12260	Hawaii	200:00	24	53	6	21	22	34	76	9	32	41	16	12	9	1	18
4001957	02/04/2016	Home	/team/104/12260	UC Santa Barbara	200:00	25	59	7	26	7	13	64	7	29	36	14	14	7	3	23
4028704	02/25/2016	Away	/team/1157/12260	Kennesaw St.	200:00	24	59	4	15	21	24	73	12	23	35	13	12	11	3	17
4028704	02/25/2016	Home	/team/28600/12260	Lipscomb	200:00	20	63	4	32	13	15	57	18	23	41	9	20	5	6	22
4028702	02/25/2016	Away	/team/574/12260	Rice	225:00	29	54	6	20	12	23	76	6	25	31	11	15	5	3	18
4028702	02/25/2016	Home	/team/664/12260	Southern Miss.	225:00	22	51	13	33	17	22	74	5	25	30	15	14	10	1	22
4028701	02/25/2016	Away	/team/202/12260	Eastern Ky.	200:00	29	57	8	16	10	13	76	11	37	48	14	21	4	4	19
4028701	02/25/2016	Home	/team/315/12260	Jacksonville St.	200:00	15	55	7	23	17	27	54	8	19	27	7	12	10	7	15
3986857	01/16/2016	Away	/team/669/12260	Missouri St.	200:00	21	51	4	13	15	25	61	10	29	39	15	11	7	1	19
3986857	01/16/2016	Home	/team/72/12260	Bradley	200:00	11	41	4	18	16	22	42	4	27	31	9	14	3	3	21
3986853	01/16/2016	Away	/team/772/12260	Western Ky.	200:00	26	58	7	15	22	30	81	17	22	39	11	14	6	2	23
3986853	01/16/2016	Home	/team/497/12260	North Texas	200:00	27	56	7	21	15	26	76	12	20	32	8	13	4	7	25
4038904	03/02/2016	Away	/team/698/12260	TCU	200:00	18	54	2	14	16	28	54	11	19	30	11	12	9	2	18
4038904	03/02/2016	Home	/team/327/12260	Kansas St.	200:00	26	46	10	19	17	21	79	3	31	34	23	15	6	5	21
4044081	03/05/2016	Away	/team/366/12260	Louisiana Tech	225:00	30	64	9	23	21	32	90	10	23	33	11	11	8	4	26
4044081	03/05/2016	Home	/team/772/12260	Western Ky.	225:00	35	62	5	16	21	29	96	8	32	40	19	16	7	6	24
3988980	01/20/2016	Away	/team/99/12260	Long Beach St.	200:00	27	54	8	23	15	20	77	5	23	28	17	9	2	2	19
3988980	01/20/2016	Home	/team/104/12260	UC Santa Barbara	200:00	24	57	7	22	12	17	67	11	27	38	16	10	3	1	23
3957915	11/24/2015	Away	/team/655/12260	Southeastern La.	200:00	19	51	7	18	4	5	49	10	18	28	6	15	5	4	18
3957915	11/24/2015	Home	/team/140/12260	Cincinnati	200:00	22	54	8	23	12	17	64	16	22	38	16	11	8	3	14
3951011	11/15/2015	Away	/team/310/12260	Iona	200:00	18	62	6	23	16	18	58	11	27	38	12	17	9	3	26
3951011	11/15/2015	Home	/team/735/12260	Valparaiso	200:00	23	54	9	22	28	36	83	9	33	42	15	16	8	9	20
3999134	02/01/2016	Away	0	St. Ambrose	200:00	23	70	7	27	6	9	59	15	21	36	14	14	4	3	22
3999134	02/01/2016	Home	/team/201/12260	Eastern Ill.	200:00	38	67	9	23	16	27	101	12	34	46	23	7	6	6	10
3962044	12/01/2015	Away	/team/514/12260	Oakland	200:00	27	65	11	29	17	21	82	13	24	37	11	11	5	3	18
3962044	12/01/2015	Home	/team/257/12260	Georgia	200:00	32	61	7	22	15	22	86	9	28	37	19	10	5	5	17
4013576	02/15/2016	Away	/team/797/12260	Milwaukee	200:00	25	56	9	23	9	13	68	11	31	42	13	16	1	3	13
4013576	02/15/2016	Home	/team/794/12260	Green Bay	200:00	30	69	6	20	4	7	70	10	22	32	17	6	12	5	16
4028563	02/25/2016	Away	/team/563/12260	Radford	200:00	22	46	6	13	10	15	60	7	27	34	11	16	2	4	17
4028563	02/25/2016	Home	/team/115/12260	Campbell	199:00	22	56	2	14	10	15	56	8	21	29	8	7	9	5	18
3988184	01/19/2016	Away	/team/648/12260	South Carolina	225:00	26	62	4	14	21	31	77	18	31	49	16	15	4	3	24
3988184	01/19/2016	Home	/team/433/12260	Ole Miss	225:00	24	61	10	33	16	27	74	12	25	37	16	10	10	4	25
3988185	01/19/2016	Away	/team/505/12260	Northern Ky.	200:00	29	55	11	25	21	26	90	11	31	42	20	15	5	1	24
3988185	01/19/2016	Home	/team/514/12260	Oakland	200:00	22	58	7	25	22	31	73	11	16	27	10	7	8	2	19
3988183	01/19/2016	Away	/team/363/12260	Longwood	200:00	17	51	7	20	12	21	53	14	23	37	7	16	11	1	19
3988183	01/19/2016	Home	/team/355/12260	Liberty	200:00	18	45	11	28	8	15	55	8	25	33	14	20	7	2	19
4028569	02/25/2016	Away	/team/579/12260	Robert Morris	200:00	23	56	3	14	24	35	73	7	30	37	12	10	8	5	18
4028569	02/25/2016	Home	/team/590/12260	Sacred Heart	200:00	23	68	4	20	13	14	63	15	32	47	13	15	4	3	25
3988188	01/19/2016	Away	/team/86/12260	Buffalo	200:00	28	63	6	24	15	20	77	19	25	44	15	13	8		16
3988188	01/19/2016	Home	/team/414/12260	Miami (OH)	200:00	22	52	8	20	8	10	60	7	18	25	10	14	4		17
3988675	01/20/2016	Away	/team/792/12260	Winthrop	200:00	29	59	4	14	9	13	71	7	32	39	13	12	5	6	18
3988675	01/20/2016	Home	/team/1092/12260	Gardner-Webb	200:00	22	67	5	22	9	15	58	17	25	42	7	11	6	4	16
4032740	02/28/2016	Away	/team/418/12260	Michigan	200:00	24	50	5	13	4	7	57	3	17	20	14	11	5	1	16
4032740	02/28/2016	Home	/team/796/12260	Wisconsin	200:00	24	49	8	21	12	15	68	7	26	33	14	12	6	4	12
4004585	02/07/2016	Away	/team/639/12260	Siena	200:00	26	53	9	19	12	17	73	14	21	35	12	15	5	3	22
4004585	02/07/2016	Home	/team/386/12260	Marist	200:00	24	51	8	22	23	28	79	7	16	23	14	7	7	4	17
4027736	11/16/2015	Away	/team/1068/12260	Elon	200:00	23	50	9	23	13	18	68	9	18	27	13	17	4	1	18
4027736	11/16/2015	Home	/team/418/12260	Michigan	200:00	31	60	13	24	13	15	88	10	22	32	20	11	8	1	22
3959770	11/28/2015	Away	/team/817/12260	Youngstown St.	200:00	35	71	10	21	8	10	88	14	22	36	18	4	7	4	9
