Team Name,Team ID
North Carolina,457 
Kansas,328
Virginia,746
Oregon,529
Austin Peay,43
Colorado,157
UCONN,164
Maryland,392
South Dakota State,649
California,107
Hawaii,277
Villanova,739
UNC Asheville,456
Iowa,312
Temple,690
Miami (FL),415
Buffalo,86
Arizona,29
Vanderbilt,736
Wichita st.,782
Holy Cross,285
Southern,665
Saint Joseph's,606
Cincinnati,140
Baylor,51
Yale,813
Duke,193
UNC Wilmington,460
Oklahoma,522
Cal St. Bakersfield,94
Oregon St.,528
VCU,740
Texas A&M,697
Green Bay,794
Texas,703
Northern Iowa,504
FGCU,28755
F Dickinson,222
South California,657
Providence,556
Indiana,306
Chattanooga,693
Kentucky,334
Stony Brook,683
Xavier,812
Weber St.,758
Wisconsin,796
Pittsburgh,545
West Virginia,768
Stephen F. Austin,676
Notre Dame,513 
Michigan,418
Tulsa,719
Hampton,270
Texas Tech,700
Butler,87
Purdue,559
Little Rock,32
Iowa St.,311
Iona,310
Michigan St.,416
Middle Tenn.,419
Dayton,175
Syracuse,688
Utah,732
Fresno St.,96
Seton Hall,635
Gonzaga,260





